step, command_counter, position_error, orientation_error
1819, 0, 0.6174915432929993, 0.2860851585865021
1820, 0, 0.5579063892364502, 0.05981685593724251
1821, 0, 0.486242413520813, 0.2158641517162323
1822, 0, 0.4175136983394623, 0.3758540153503418
1823, 0, 0.35158535838127136, 0.5249561667442322
1824, 0, 0.2964015603065491, 0.6450348496437073
1825, 0, 0.2536775469779968, 0.7332262992858887
1826, 0, 0.2212705761194229, 0.7910809516906738
1827, 0, 0.19597305357456207, 0.8149603605270386
1828, 0, 0.17522868514060974, 0.8141346573829651
1829, 0, 0.1585446447134018, 0.8026237487792969
1830, 0, 0.1470211297273636, 0.7885352373123169
1831, 0, 0.14079596102237701, 0.7707277536392212
1832, 0, 0.13835014402866364, 0.7467572093009949
1833, 0, 0.13790187239646912, 0.7162324786186218
1834, 0, 0.1383291631937027, 0.6810451745986938
1835, 0, 0.13914833962917328, 0.6447476148605347
1836, 0, 0.13977469503879547, 0.6090872883796692
1837, 0, 0.14018064737319946, 0.5748078227043152
1838, 0, 0.14038576185703278, 0.5439590215682983
1839, 0, 0.14041060209274292, 0.5193777084350586
1840, 0, 0.1403173804283142, 0.4986744225025177
1841, 0, 0.14019130170345306, 0.4818551242351532
1842, 0, 0.1401115357875824, 0.4693356454372406
1843, 0, 0.140107661485672, 0.46046575903892517
1844, 0, 0.14018487930297852, 0.45411157608032227
1845, 0, 0.14034709334373474, 0.4493948519229889
1846, 0, 0.14058531820774078, 0.445191890001297
1847, 0, 0.14089779555797577, 0.4414636194705963
1848, 0, 0.14127397537231445, 0.4383571445941925
1849, 0, 0.1416987180709839, 0.4356265664100647
1850, 0, 0.1421571969985962, 0.43325570225715637
1851, 0, 0.14263059198856354, 0.4313131868839264
1852, 0, 0.1431075483560562, 0.42977046966552734
1853, 0, 0.143586203455925, 0.42853233218193054
1854, 0, 0.1440623253583908, 0.42745891213417053
1855, 0, 0.14453741908073425, 0.42640113830566406
1856, 0, 0.14500699937343597, 0.4254058599472046
1857, 0, 0.1454716920852661, 0.42443037033081055
1858, 0, 0.1459316909313202, 0.4234885573387146
1859, 0, 0.14638768136501312, 0.4225921928882599
1860, 0, 0.14683784544467926, 0.4217371642589569
1861, 0, 0.1472802609205246, 0.42092251777648926
1862, 0, 0.14771772921085358, 0.42015141248703003
1863, 0, 0.14814965426921844, 0.41942131519317627
1864, 0, 0.14857588708400726, 0.4187283515930176
1865, 0, 0.1489952653646469, 0.41807684302330017
1866, 0, 0.1494087427854538, 0.4174599051475525
1867, 0, 0.14981642365455627, 0.4168764650821686
1868, 0, 0.1502174586057663, 0.41633346676826477
1869, 0, 0.15061289072036743, 0.4158209264278412
1870, 0, 0.15100018680095673, 0.41534045338630676
1871, 0, 0.151382178068161, 0.4149022102355957
1872, 0, 0.15175795555114746, 0.41450974345207214
1873, 0, 0.15212762355804443, 0.414160817861557
1874, 0, 0.15248943865299225, 0.41384947299957275
1875, 0, 0.15284579992294312, 0.41356992721557617
1876, 0, 0.15319713950157166, 0.41331884264945984
1877, 0, 0.15354342758655548, 0.41309452056884766
1878, 0, 0.15388399362564087, 0.4128952622413635
1879, 0, 0.15421906113624573, 0.4127179980278015
1880, 0, 0.1545502096414566, 0.4125603437423706
1881, 0, 0.1548757553100586, 0.41242334246635437
1882, 0, 0.15519627928733826, 0.412306010723114
1883, 0, 0.1555117815732956, 0.4122051000595093
1884, 0, 0.15582357347011566, 0.4121193289756775
1885, 0, 0.156129390001297, 0.41204702854156494
1886, 0, 0.156431183218956, 0.41199004650115967
1887, 0, 0.1567295342683792, 0.4119439125061035
1888, 0, 0.15702423453330994, 0.4119115471839905
1889, 0, 0.15731436014175415, 0.41188615560531616
1890, 0, 0.15759976208209991, 0.4118691086769104
1891, 0, 0.15788190066814423, 0.411859393119812
1892, 0, 0.15816082060337067, 0.41185590624809265
1893, 0, 0.15843650698661804, 0.4118582606315613
1894, 0, 0.15870819985866547, 0.4118669629096985
1895, 0, 0.1589774638414383, 0.4118803143501282
1896, 0, 0.15924231708049774, 0.411901593208313
1897, 0, 0.1595022976398468, 0.41192254424095154
1898, 0, 0.15976032614707947, 0.4119519591331482
1899, 0, 0.16001448035240173, 0.4119873344898224
1900, 0, 0.1602655053138733, 0.4120272994041443
1901, 0, 0.1605137437582016, 0.41207101941108704
1902, 0, 0.16075921058654785, 0.4121183156967163
1903, 0, 0.16100074350833893, 0.4121653437614441
1904, 0, 0.16123928129673004, 0.41221854090690613
1905, 0, 0.16147518157958984, 0.4122745990753174
1906, 0, 0.16170834004878998, 0.412331759929657
1907, 0, 0.16193737089633942, 0.412391722202301
1908, 0, 0.16216474771499634, 0.41245272755622864
1909, 0, 0.16238975524902344, 0.4125171899795532
1910, 0, 0.16261060535907745, 0.41258224844932556
1911, 0, 0.16282811760902405, 0.4126470685005188
1912, 0, 0.1630437821149826, 0.4127175807952881
1913, 0, 0.16325782239437103, 0.41278791427612305
1914, 0, 0.1634674072265625, 0.4128573536872864
1915, 0, 0.16367442905902863, 0.41293075680732727
1916, 0, 0.1638800948858261, 0.413003534078598
1917, 0, 0.1640833169221878, 0.41307586431503296
1918, 0, 0.1642826497554779, 0.4131459593772888
1919, 0, 0.16447991132736206, 0.41321879625320435
1920, 1, 0.07212281227111816, 0.6616458892822266
1921, 1, 0.07046197354793549, 0.6893068552017212
1922, 1, 0.067138671875, 0.6916857957839966
