step, command_counter, position_error, orientation_error
1819, 0, 0.14174751937389374, 0.43547117710113525
1820, 0, 0.13497893512248993, 0.30112457275390625
1821, 0, 0.1317884922027588, 0.2621995806694031
1822, 0, 0.13113920390605927, 0.3128936290740967
1823, 0, 0.1318553388118744, 0.38489601016044617
1824, 0, 0.13288183510303497, 0.4185338020324707
1825, 0, 0.13372600078582764, 0.4305973947048187
1826, 0, 0.13436715304851532, 0.428798645734787
1827, 0, 0.13485577702522278, 0.41945090889930725
1828, 0, 0.13527004420757294, 0.40756282210350037
1829, 0, 0.13565081357955933, 0.394802063703537
1830, 0, 0.13599522411823273, 0.3823260962963104
1831, 0, 0.13631242513656616, 0.3705502450466156
1832, 0, 0.13657721877098083, 0.3582788109779358
1833, 0, 0.13680841028690338, 0.34611108899116516
1834, 0, 0.13704527914524078, 0.33544862270355225
1835, 0, 0.13730952143669128, 0.32671743631362915
1836, 0, 0.1375979781150818, 0.3198276162147522
1837, 0, 0.1379065066576004, 0.31442612409591675
1838, 0, 0.13822467625141144, 0.3098881244659424
1839, 0, 0.13854359090328217, 0.3056251108646393
1840, 0, 0.13885176181793213, 0.30107930302619934
1841, 0, 0.13914404809474945, 0.2961263954639435
1842, 0, 0.13942180573940277, 0.29104796051979065
1843, 0, 0.1396944522857666, 0.28613412380218506
1844, 0, 0.13996414840221405, 0.28154653310775757
1845, 0, 0.14023244380950928, 0.277353972196579
1846, 0, 0.14050047099590302, 0.27371805906295776
1847, 0, 0.1407622992992401, 0.2702777087688446
1848, 0, 0.14102467894554138, 0.2672722339630127
1849, 0, 0.14128147065639496, 0.2646068334579468
1850, 0, 0.1415259689092636, 0.26213759183883667
1851, 0, 0.14176161587238312, 0.2598856985569
1852, 0, 0.14198823273181915, 0.25780975818634033
1853, 0, 0.1422048658132553, 0.25588688254356384
1854, 0, 0.14241401851177216, 0.25410550832748413
1855, 0, 0.14261582493782043, 0.25245213508605957
1856, 0, 0.14281027019023895, 0.25091058015823364
1857, 0, 0.1429987996816635, 0.24947623908519745
1858, 0, 0.14318154752254486, 0.24813050031661987
1859, 0, 0.1433580368757248, 0.24686630070209503
1860, 0, 0.14352968335151672, 0.24566707015037537
1861, 0, 0.14369623363018036, 0.2445337474346161
1862, 0, 0.14385807514190674, 0.2434588074684143
1863, 0, 0.14401571452617645, 0.24241720139980316
1864, 0, 0.14417444169521332, 0.24139712750911713
1865, 0, 0.1443365514278412, 0.2403530478477478
1866, 0, 0.14450252056121826, 0.23928916454315186
1867, 0, 0.14467020332813263, 0.2382306009531021
1868, 0, 0.1448351889848709, 0.2371930032968521
1869, 0, 0.14499814808368683, 0.23617713153362274
1870, 0, 0.14515650272369385, 0.23506145179271698
1871, 0, 0.14531326293945312, 0.23412764072418213
1872, 0, 0.145466148853302, 0.23320508003234863
1873, 0, 0.1456122100353241, 0.23230238258838654
1874, 0, 0.14575394988059998, 0.2314077466726303
1875, 0, 0.14589263498783112, 0.23051579296588898
1876, 0, 0.1460278481245041, 0.22962914407253265
1877, 0, 0.14616085588932037, 0.22882655262947083
1878, 0, 0.14628899097442627, 0.22788207232952118
1879, 0, 0.1464150846004486, 0.22698655724525452
1880, 0, 0.1465386301279068, 0.22610148787498474
1881, 0, 0.14666029810905457, 0.2252255380153656
1882, 0, 0.14677923917770386, 0.22435107827186584
1883, 0, 0.14689569175243378, 0.22347407042980194
1884, 0, 0.14701023697853088, 0.22260455787181854
1885, 0, 0.14712242782115936, 0.2217443287372589
1886, 0, 0.14723272621631622, 0.22088691592216492
1887, 0, 0.1473405659198761, 0.22002671658992767
1888, 0, 0.14744670689105988, 0.2191716432571411
1889, 0, 0.1475515216588974, 0.21832014620304108
1890, 0, 0.1476539820432663, 0.2174719125032425
1891, 0, 0.14775428175926208, 0.21662603318691254
1892, 0, 0.14785261452198029, 0.2157825082540512
1893, 0, 0.1479492038488388, 0.2149394303560257
1894, 0, 0.1480443924665451, 0.2140972912311554
1895, 0, 0.14813782274723053, 0.2132624089717865
1896, 0, 0.14823010563850403, 0.2124236822128296
1897, 0, 0.14832034707069397, 0.21158413589000702
1898, 0, 0.1484089493751526, 0.21074382960796356
1899, 0, 0.14849604666233063, 0.20990976691246033
1900, 0, 0.14858132600784302, 0.20907604694366455
1901, 0, 0.1486649513244629, 0.2082442343235016
1902, 0, 0.14874719083309174, 0.20741896331310272
1903, 0, 0.1488286256790161, 0.20658180117607117
1904, 0, 0.14890868961811066, 0.20575156807899475
1905, 0, 0.14898721873760223, 0.20492303371429443
1906, 0, 0.14906397461891174, 0.20409686863422394
1907, 0, 0.1491396576166153, 0.2032669484615326
1908, 0, 0.14921405911445618, 0.20244178175926208
1909, 0, 0.1492868810892105, 0.2016143649816513
1910, 0, 0.1493588536977768, 0.20078805088996887
1911, 0, 0.1494295746088028, 0.19996221363544464
1912, 0, 0.14949871599674225, 0.19913926720619202
1913, 0, 0.1495678424835205, 0.19839823246002197
1914, 0, 0.1496344357728958, 0.19753232598304749
1915, 0, 0.14970026910305023, 0.1966882050037384
1916, 0, 0.14976541697978973, 0.1958577036857605
1917, 0, 0.1498294621706009, 0.19503207504749298
1918, 0, 0.14989221096038818, 0.1942099779844284
1919, 0, 0.14995408058166504, 0.1933911293745041
1920, 1, 0.23303689062595367, 0.48626044392585754
1921, 1, 0.23210929334163666, 0.45546814799308777
1922, 1, 0.23137539625167847, 0.4305732548236847
1923, 1, 0.23088154196739197, 0.41147446632385254
1924, 1, 0.23059403896331787, 0.39519304037094116
1925, 1, 0.23045377433300018, 0.3811553120613098
1926, 1, 0.23045797646045685, 0.36877545714378357
1927, 1, 0.23059703409671783, 0.3575279414653778
1928, 1, 0.23086722195148468, 0.34706681966781616
1929, 1, 0.23124679923057556, 0.3374280035495758
1930, 1, 0.23166336119174957, 0.32872891426086426
1931, 1, 0.23208503425121307, 0.3206862509250641
1932, 1, 0.23249749839305878, 0.3133525252342224
1933, 1, 0.2328849732875824, 0.3069067895412445
1934, 1, 0.23324747383594513, 0.3012992739677429
1935, 1, 0.23359496891498566, 0.2963278591632843
1936, 1, 0.2339288592338562, 0.2918142080307007
1937, 1, 0.23424910008907318, 0.2876400351524353
1938, 1, 0.23455747961997986, 0.28376588225364685
1939, 1, 0.23485609889030457, 0.28017470240592957
1940, 1, 0.23514647781848907, 0.2768476605415344
1941, 1, 0.23543089628219604, 0.27375808358192444
1942, 1, 0.2357088178396225, 0.2708956301212311
1943, 1, 0.23598116636276245, 0.268237829208374
1944, 1, 0.23624864220619202, 0.26578208804130554
1945, 1, 0.23651130497455597, 0.26351383328437805
1946, 1, 0.23677220940589905, 0.261384516954422
1947, 1, 0.23702798783779144, 0.2594650089740753
1948, 1, 0.23728084564208984, 0.2576989531517029
1949, 1, 0.23753291368484497, 0.25604328513145447
1950, 1, 0.2377845197916031, 0.25447529554367065
1951, 1, 0.23803621530532837, 0.2529895007610321
1952, 1, 0.23828786611557007, 0.2515944242477417
1953, 1, 0.23853901028633118, 0.2502833604812622
1954, 1, 0.238786980509758, 0.24909786880016327
1955, 1, 0.23903213441371918, 0.24801979959011078
1956, 1, 0.23927319049835205, 0.24702991545200348
1957, 1, 0.23951150476932526, 0.24610191583633423
1958, 1, 0.2397460788488388, 0.24522985517978668
1959, 1, 0.2399766892194748, 0.24441924691200256
1960, 1, 0.24020372331142426, 0.24366378784179688
1961, 1, 0.240426167845726, 0.24295440316200256
1962, 1, 0.2406446933746338, 0.2422882318496704
1963, 1, 0.2408594936132431, 0.24166063964366913
1964, 1, 0.24107210338115692, 0.24106299877166748
1965, 1, 0.24128173291683197, 0.2404935210943222
1966, 1, 0.24149009585380554, 0.2399442493915558
1967, 1, 0.241695374250412, 0.23942115902900696
1968, 1, 0.2418982833623886, 0.23891179263591766
1969, 1, 0.2420986145734787, 0.23842203617095947
1970, 1, 0.24229688942432404, 0.23794962465763092
1971, 1, 0.2424914389848709, 0.23749832808971405
1972, 1, 0.24268364906311035, 0.23706018924713135
1973, 1, 0.24279750883579254, 0.2400212436914444
1974, 1, 0.2428525686264038, 0.2433442920446396
1975, 1, 0.24289347231388092, 0.2462867647409439
1976, 1, 0.24292775988578796, 0.24883516132831573
1977, 1, 0.24295654892921448, 0.25104790925979614
1978, 1, 0.24298253655433655, 0.2529592216014862
1979, 1, 0.24300716817378998, 0.25460511445999146
1980, 1, 0.24303241074085236, 0.25602033734321594
1981, 1, 0.24305881559848785, 0.2572353184223175
1982, 1, 0.24308739602565765, 0.2582789361476898
1983, 1, 0.24311815202236176, 0.2591801583766937
1984, 1, 0.2431517392396927, 0.259952574968338
1985, 1, 0.2431880235671997, 0.26061558723449707
1986, 1, 0.24322745203971863, 0.2611828148365021
1987, 1, 0.24327029287815094, 0.261668860912323
1988, 1, 0.2433152198791504, 0.2620870769023895
1989, 1, 0.24336206912994385, 0.26244470477104187
1990, 1, 0.24341052770614624, 0.26275840401649475
1991, 1, 0.2434605211019516, 0.2630329728126526
1992, 1, 0.24351166188716888, 0.2632724344730377
1993, 1, 0.2435641884803772, 0.26348090171813965
1994, 1, 0.24361875653266907, 0.2636587619781494
1995, 1, 0.2436738908290863, 0.2638107240200043
1996, 1, 0.24372966587543488, 0.26393941044807434
1997, 1, 0.2437867522239685, 0.26404616236686707
1998, 1, 0.24384455382823944, 0.2641327977180481
1999, 1, 0.24390244483947754, 0.26419955492019653
2000, 1, 0.24396100640296936, 0.2642497718334198
2001, 1, 0.2440202385187149, 0.26428282260894775
2002, 1, 0.24407917261123657, 0.26430219411849976
2003, 1, 0.24413852393627167, 0.26430654525756836
2004, 1, 0.2441975176334381, 0.2643003463745117
2005, 1, 0.2442568987607956, 0.2642803490161896
2006, 1, 0.24431592226028442, 0.2642495334148407
2007, 1, 0.2443743646144867, 0.26420989632606506
2008, 1, 0.2444329708814621, 0.26415956020355225
2009, 1, 0.24449099600315094, 0.26409879326820374
2010, 1, 0.24454888701438904, 0.2640327513217926
2011, 1, 0.2446066290140152, 0.26395756006240845
2012, 1, 0.24466410279273987, 0.2638742923736572
2013, 1, 0.24472109973430634, 0.26378828287124634
2014, 1, 0.24477744102478027, 0.26369568705558777
2015, 1, 0.24483223259449005, 0.2636069059371948
2016, 1, 0.24488666653633118, 0.26350483298301697
2017, 1, 0.2449413686990738, 0.26339659094810486
2018, 1, 0.2449949085712433, 0.26328369975090027
2019, 1, 0.24504803121089935, 0.2631676495075226
2020, 1, 0.24510088562965393, 0.263044148683548
2021, 2, 0.2930043041706085, 0.9787145256996155
2022, 2, 0.28675439953804016, 0.6869404315948486
2023, 2, 0.28151705861091614, 0.5469391345977783
2024, 2, 0.2758602797985077, 0.45192670822143555
2025, 2, 0.2707084119319916, 0.399345338344574
2026, 2, 0.26588088274002075, 0.36315691471099854
2027, 2, 0.2614994943141937, 0.33438539505004883
2028, 2, 0.2575209438800812, 0.30954959988594055
2029, 2, 0.25398337841033936, 0.2875366508960724
